review_id,product_id,aspect,opinion,phrase,sentiment
49112,383,quality,bad,bad quality,negative
94057,512,charge,rather,rather charge,neutral
100927,536,power,good,good power,positive
100712,536,product,bad,bad product,negative
101271,536,product,nice,nice product,positive
99459,536,look,nice,nice look,positive
100197,536,product,good,good product,positive
100727,536,botton,switch,switch botton,negative
100727,536,power,better,better power,neutral
100727,536,bluetooth,mobile,mobile bluetooth,neutral
100727,536,power,low,low power,neutral
100727,536,charge,fast,fast charge,neutral
100727,536,botton,twice,twice botton,negative
100727,536,press,switch,switch press,neutral
107976,566,router,good,good router,positive
107976,566,price range range,good,good price range range,positive
107976,566,speed,good,good speed,positive
116053,580,installation,not,not installation,negative
115522,580,thing,first,first thing,neutral
115522,580,thing,upto,upto thing,neutral
115301,580,installation,fast,fast installation,neutral
115301,580,jeeves,super,super jeeves,positive
116635,580,quality,nice,nice quality,positive
115659,580,tv connectivity sound display,good,good tv connectivity sound display,positive
115659,580,thank,good,good thank,positive
115362,580,product,durable,durable product,positive
115362,580,tv,smart,smart tv,positive
115362,580,day,first,first day,neutral
115341,580,jeeves,technician,technician jeeves,negative
115341,580,tv,good,good tv,positive
115341,580,tv,inch,inch tv,negative
115341,580,installation,bad,bad installation,negative
116073,580,product,good,good product,positive
137398,662,level,aqi,aqi level,neutral
137398,662,city,polluted,polluted city,negative
137398,662,difference,great,great difference,positive
137398,662,product,great,great product,positive
137398,662,increased,drastically,drastically increased,negative
137398,662,working,pretty,pretty working,neutral
137407,662,hitch simple basic design mobile app,cool,cool hitch simple basic design mobile app,positive
137407,662,simple,basic,basic simple,neutral
137407,662,value,great,great value,positive
137407,662,design,basic,basic design,neutral
137407,662,performance,finally,finally performance,positive
137407,662,feature,fav,fav feature,neutral
124891,601,heating,fastly,fastly heating,neutral
124891,601,product,not,not product,negative
124891,601,productreviews,chinese,chinese productreviews,neutral
124891,601,quality,bad,bad quality,negative
124891,601,waste,electronic,electronic waste,negative
124891,601,productwaist,bad,bad productwaist,negative
124891,601,money,back,back money,negative
124891,601,working,not properly,not properly working,negative
12179,142,brand,international,international brand,neutral
12179,142,becomes,available,available becomes,positive
12179,142,machine,good,good machine,positive
12179,142,months,finally,finally months,neutral
12179,142,mode,intense,intense mode,neutral
12179,142,mode,still,still mode,neutral
12179,142,utensils,dirty,dirty utensils,negative
12179,142,months,many,many months,neutral
12179,142,eco,normal,normal eco,neutral
118835,584,neighbours,not,not neighbours,negative
4509,110,quality,build,build quality,positive
4509,110,quality,good,good quality,positive
4509,110,battery,rich,rich battery,positive
4715,110,quality,not,not quality,negative
